TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force
jm9RokfIBMpVLdiz2GZr,9/11/2023,WBB017,Braking,-1.9134,-6.011
PyMJgVkrrrjC8Wk6Os75,9/11/2023,WBB017,Braking,-0.0456,-4.1322
vBTRLcYYviTnENp4s4Fn,10/16/2023,WBB018,Braking,-2.1915,2.469
arzkDAWIVccYuDTdgyU8,10/16/2023,WBB018,Braking,-0.142,3.305
FQirOFF0YEzy9jBrQRmu,10/9/2023,WBB018,Braking,2.4812,9.3448
7y4foRnewh4YBGK53k8L,10/9/2023,WBB018,Braking,0.166,5.4876
zkReH41g7kF45PkuOohQ,10/2/2023,WBB018,Braking,0.1655,10.6621
Y9CZlHTPRe1yH3awLFNi,10/2/2023,WBB018,Braking,-0.6689,6.9403
GJAokCmCvatlkKLFZCpq,9/25/2023,WBB018,Braking,-0.3812,1.3569
EYegb2ykWU9u1mOOQnKp,9/25/2023,WBB018,Braking,0.304,7.3644
toykPBqSy82oQku2ZgGQ,9/18/2023,WBB018,Braking,1.7274,9.4392
AgzsCBShxiHblYWiO2y5,9/18/2023,WBB018,Braking,-3.4783,5.1245
i3QZn5axHnndmg8sMaLF,9/11/2023,WBB018,Braking,-4.8593,-0.9381
cn8GY2KshhqifmNIbU4y,9/11/2023,WBB018,Braking,2.138,8.8193
I7MQiQzZXX2Zc7jDXWF4,10/16/2023,WBB019,Braking,13.8577,18.8819
7N3mfCNfuCd0a5LGDij4,10/16/2023,WBB019,Braking,8.2551,13.818
AuWAa7DwU9vgkQZio1G9,10/9/2023,WBB019,Braking,12.0424,21.3718
Eqx5V0Pje4r3Yyk8UyHG,10/9/2023,WBB019,Braking,10.0432,13.6549
2cDd02qG0TK2hhSEaw3U,10/2/2023,WBB019,Braking,14.0684,14.6573
L4O0PX84WGAt17da49Af,10/2/2023,WBB019,Braking,8.4,14.3682
LPtmHbnntatKSzJqX70x,9/25/2023,WBB019,Braking,7.3494,14.2668
jDmglmUGPmHSpGmqc3qP,9/25/2023,WBB019,Braking,15.3846,13.0221
MyFCTigNe2UyzHhatC55,9/18/2023,WBB019,Braking,19.6894,24.2681
DOlPTfCiHQywNMFgjiui,9/18/2023,WBB019,Braking,18.5024,23.1059
gW5ho3MopqWP3T6UaBnU,9/11/2023,WBB019,Braking,24.7599,28.8181
xSEeb9RWoCDjsc1rnCex,9/11/2023,WBB019,Braking,14.6079,17.3237
mFICd3tBSVdiv6XNCGql,10/16/2023,WBB001,Braking,6.3437,6.7172
6JSmyXRCN0vmrtg9aO1Y,10/16/2023,WBB001,Braking,8.9219,6.1856
9h81t20vfI9C1OZlZbUd,10/9/2023,WBB001,Braking,8.8077,4.0307
q0jKZ4MrSdxghNX8EsH4,10/9/2023,WBB001,Braking,9.9878,14.2496
2NBsjnSROonbG03tembq,10/2/2023,WBB001,Braking,6.4034,6.4876
PYued3DopVIDBkGwZrJL,10/2/2023,WBB001,Braking,8.4918,2.7999
JbODU4dBojKRFs609bTn,9/25/2023,WBB001,Braking,3.7576,5.1854
Q3qBAw1L0ZRjO6DgZBKD,9/25/2023,WBB001,Braking,6.4695,7.536
OJoW3alWsqdbQ6v2ggyv,9/18/2023,WBB001,Braking,8.6331,4.7071
yXmYVNroV4GGjXnlPQcy,9/18/2023,WBB001,Braking,12.476,9.6993
Wx5FUExqtkiL36PeTEqA,9/11/2023,WBB001,Braking,5.8608,3.6818
bnLyENusOzoHbqKuBf75,9/11/2023,WBB001,Braking,6.7985,4.9344
Tl7094BrPYN1jq9NScxE,10/16/2023,WBB002,Braking,-4.3393,-11.9064
jODdZyTVbRxL7Xk3yBDP,10/16/2023,WBB002,Braking,-2.9759,-12.5189
XTMxy2c9rLZxBNq95Ghq,10/9/2023,WBB002,Braking,-1.8501,-8.7095
oaWKQsBdpSDsKei9vbxa,10/9/2023,WBB002,Braking,-4.6434,-13.1387
JCpIKJSDawoyKcG3a4sf,10/2/2023,WBB002,Braking,-5.8704,-12.5715
K05DOrf5Fy4NVP4mfcXT,10/2/2023,WBB002,Braking,-3.7602,-9.755
NXPUhv1Y0ucIk60EiTHc,9/25/2023,WBB002,Braking,-4.042,-11.1218
gJUKt6ZVvfLiBh2vnG7x,9/25/2023,WBB002,Braking,1.4815,-9.4448
