TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force
0QmeD0KRVnDIjyrltwBw,10/17/2023,MFB011,Braking,4.2543,14.1438
trlxNceg3wK5fGSJS01N,10/10/2023,MFB011,Braking,-3.2194,-0.4937
ezEtzmX2hmSHdgRfUYr0,10/10/2023,MFB011,Braking,-0.2693,4.6125
gaQdzzg4zdWgnrJDprrk,10/3/2023,MFB011,Braking,-0.5263,2.4357
LVssCG2YymotzthYcGKt,10/3/2023,MFB011,Braking,-2.5557,1.5294
HXv8Ip4vxbisU0uF59lM,9/26/2023,MFB011,Braking,-2.2989,-2.7179
gSb2XIMc04I7ENP9Ee4f,9/26/2023,MFB011,Braking,-2.0802,3.6404
vHtRxBZw08Z8aPWzVoTP,9/19/2023,MFB011,Braking,-5.248,-2.9401
ywjwSuXipVVXcoinILV9,9/19/2023,MFB011,Braking,-2.4766,4.7249
WROnoelSZxJ71fd3R0Ww,9/12/2023,MFB011,Braking,0.4069,0.9231
YYFJtIsWdWRNQr4SHN7r,9/12/2023,MFB011,Braking,-3.0884,0.2932
fJQIavMxxOQYmBFCUhTu,8/29/2023,MFB011,Braking,2.9787,5.9332
QogAng6qVutDSJWnBpn2,8/29/2023,MFB011,Braking,-0.4274,6.8785
NMlMUottbD489bw4RBFz,8/29/2023,MFB011,Braking,3.5603,6.1701
8OzIUGdr0QAyFYHMwJsf,10/17/2023,MFB012,Braking,15.283,10.6857
FJlW3yMf1efYaHwATBdo,10/17/2023,MFB012,Braking,11.599,7.6079
JMn3M7E1ZAYNhnpaanKn,10/10/2023,MFB012,Braking,11.6496,6.4346
YSBeUx3JS4ihUVM9iOc8,10/10/2023,MFB012,Braking,12.3855,12.2416
wwqb3i5HuHPwefE8SHQ4,10/3/2023,MFB012,Braking,18.9936,10.5826
9ju5RwsHM1iRPkMJcWjN,10/3/2023,MFB012,Braking,16.3121,9.4461
0j0Khgtsd9cT7jQlJ3zM,9/26/2023,MFB012,Braking,11.8962,6.8853
hcmSjvG5RfXAoIu7MvTG,9/26/2023,MFB012,Braking,17.3367,11.2774
IL367M29R1DnlWwl6G1Z,9/19/2023,MFB012,Braking,8.0339,-0.3297
HPD9YFGcdZSyNDxZ4IXz,9/19/2023,MFB012,Braking,12.1664,2.7569
gcRjOT3K67MZWYY370X4,9/12/2023,MFB012,Braking,11.5219,1.7049
JoVHj1gWG0tc0xYqKa59,9/12/2023,MFB012,Braking,-4.2824,-0.1137
Wax7kk4xU3HsRWPRjMXT,8/29/2023,MFB012,Braking,13.8711,10.8423
dl1DFtkECa01iYoh5kXS,8/29/2023,MFB012,Braking,2.8881,-8.4682
cZvdrDnrRv65Ig1EsWl9,8/29/2023,MFB012,Braking,2.9029,-2.7305
cEH6XfvzCH6Wbwm15r9J,10/3/2023,MFB013,Braking,12.8631,14.9966
GfqnxSoWHQL5siJvTtcB,10/3/2023,MFB013,Braking,19.4951,14.919
9vjUkeRVdCiSPw8COVKo,8/29/2023,MFB013,Braking,-7.8163,-13.3867
4ieujw5fZTHIY5fWcyja,8/29/2023,MFB013,Braking,-11.845,-9.8541
3VJTwrdarluoozeIZ2uj,8/29/2023,MFB013,Braking,-4.6289,-1.5341
0gQBdAe2cRiUE27EAH3c,10/17/2023,MFB014,Braking,-0.8961,0.4794
lcmQXH79FulD0SoV9SHD,10/17/2023,MFB014,Braking,-3.6036,-5.5911
S6VmuOCfgVpj9X2u5kFN,10/10/2023,MFB014,Braking,-1.0913,-3.2485
K7mjsqxw75TrJi10XNMg,10/10/2023,MFB014,Braking,-4.8276,-3.3208
BbnLRjPqXCImCIDv4e9G,10/3/2023,MFB014,Braking,0.7786,0.3853
pXWuPP8JDHqDBIKSpWrS,10/3/2023,MFB014,Braking,0.0,1.8545
VCCVmugIDTFuH5LiwdtJ,9/26/2023,MFB014,Braking,-0.9036,-6.2638
dFnvjY3kidIBwViiAjSt,9/26/2023,MFB014,Braking,-6.5322,-3.0553
qcmvFhVn1wYsNP6OJ8rN,8/29/2023,MFB014,Braking,0.2961,-0.037
kGrk0CPKnhTsTqwBJqQD,8/29/2023,MFB014,Braking,-4.1208,-6.443
0UKdB9V7GMgyzjIcjTAr,8/29/2023,MFB014,Braking,-2.9313,-6.2766
KYlFS1fqnGhFiHFddsbm,10/17/2023,MFB015,Braking,6.0606,10.3259
8dp2LD0XBcZfnHuL0ymN,10/17/2023,MFB015,Braking,13.2321,12.9276
D7SH41Fdu2xdWSvQ54NO,10/10/2023,MFB015,Braking,13.2344,14.6878
odIDe3I0C5kscWRW3Ui5,10/10/2023,MFB015,Braking,14.2079,11.8773
kPHEJvwrJ9hT2O1sO7xX,10/3/2023,MFB015,Braking,11.1111,6.3865
FgS5GfNcsU56gdCcYqYm,10/3/2023,MFB015,Braking,11.7838,5.0791
UDfA8zSR1hPMD2LAcg7t,9/26/2023,MFB015,Braking,2.0602,6.0115
lvNErYqOuFSCKWgOvPub,9/26/2023,MFB015,Braking,9.1662,0.8702
uRJsKSTzAbxuZjn3m7o0,9/12/2023,MFB015,Braking,8.3622,10.9765
g2Chg49xHal7ZPYGhPxA,9/12/2023,MFB015,Braking,7.2575,11.0017
daTDJ1ubdup2c448xE4h,8/29/2023,MFB015,Braking,8.8353,-0.548
CmddOWi1bngavmvtKGbA,8/29/2023,MFB015,Braking,6.4184,5.566
Q59bcOaiC84gZ8zyCZpV,8/29/2023,MFB015,Braking,16.5015,2.9955
gx38V6gQXWDoz3HzprFk,10/17/2023,MFB016,Braking,3.0423,6.3077
